,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
0,1,0,0,30 January 2020,2020-01-30,1,0,0
1,0,0,0,31 January 2020,2020-01-31,1,0,0
2,0,0,0,1 February 2020,2020-02-01,1,0,0
3,1,0,0,2 February 2020,2020-02-02,2,0,0
4,1,0,0,3 February 2020,2020-02-03,3,0,0
5,0,0,0,4 February 2020,2020-02-04,3,0,0
6,0,0,0,5 February 2020,2020-02-05,3,0,0
7,0,0,0,6 February 2020,2020-02-06,3,0,0
8,0,0,0,7 February 2020,2020-02-07,3,0,0
9,0,0,0,8 February 2020,2020-02-08,3,0,0
10,0,0,0,9 February 2020,2020-02-09,3,0,0
11,0,0,0,10 February 2020,2020-02-10,3,0,0
12,0,0,0,11 February 2020,2020-02-11,3,0,0
13,0,0,0,12 February 2020,2020-02-12,3,0,0
14,0,0,1,13 February 2020,2020-02-13,3,0,1
15,0,0,0,14 February 2020,2020-02-14,3,0,1
16,0,0,0,15 February 2020,2020-02-15,3,0,1
17,0,0,1,16 February 2020,2020-02-16,3,0,2
18,0,0,0,17 February 2020,2020-02-17,3,0,2
19,0,0,0,18 February 2020,2020-02-18,3,0,2
20,0,0,0,19 February 2020,2020-02-19,3,0,2
21,0,0,1,20 February 2020,2020-02-20,3,0,3
22,0,0,0,21 February 2020,2020-02-21,3,0,3
23,0,0,0,22 February 2020,2020-02-22,3,0,3
24,0,0,0,23 February 2020,2020-02-23,3,0,3
25,0,0,0,24 February 2020,2020-02-24,3,0,3
26,0,0,0,25 February 2020,2020-02-25,3,0,3
27,0,0,0,26 February 2020,2020-02-26,3,0,3
28,0,0,0,27 February 2020,2020-02-27,3,0,3
29,0,0,0,28 February 2020,2020-02-28,3,0,3
30,0,0,0,29 February 2020,2020-02-29,3,0,3
31,0,0,0,1 March 2020,2020-03-01,3,0,3
32,2,0,0,2 March 2020,2020-03-02,5,0,3
33,1,0,0,3 March 2020,2020-03-03,6,0,3
34,22,0,0,4 March 2020,2020-03-04,28,0,3
35,2,0,0,5 March 2020,2020-03-05,30,0,3
36,1,0,0,6 March 2020,2020-03-06,31,0,3
37,3,0,0,7 March 2020,2020-03-07,34,0,3
38,5,0,0,8 March 2020,2020-03-08,39,0,3
39,9,0,0,9 March 2020,2020-03-09,48,0,3
40,15,0,1,10 March 2020,2020-03-10,63,0,4
41,8,0,0,11 March 2020,2020-03-11,71,0,4
42,10,1,0,12 March 2020,2020-03-12,81,1,4
43,10,0,6,13 March 2020,2020-03-13,91,1,10
44,11,1,0,14 March 2020,2020-03-14,102,2,10
45,10,0,3,15 March 2020,2020-03-15,112,2,13
46,14,0,1,16 March 2020,2020-03-16,126,2,14
47,20,1,1,17 March 2020,2020-03-17,146,3,15
48,25,0,0,18 March 2020,2020-03-18,171,3,15
49,27,1,5,19 March 2020,2020-03-19,198,4,20
50,58,0,3,20 March 2020,2020-03-20,256,4,23
51,78,0,0,21 March 2020,2020-03-21,334,4,23
52,69,3,0,22 March 2020,2020-03-22,403,7,23
53,94,2,2,23 March 2020,2020-03-23,497,9,25
54,74,1,15,24 March 2020,2020-03-24,571,10,40
55,86,1,3,25 March 2020,2020-03-25,657,11,43
56,73,5,7,26 March 2020,2020-03-26,730,16,50
57,153,3,25,27 March 2020,2020-03-27,883,19,75
58,136,5,10,28 March 2020,2020-03-28,1019,24,85
59,120,3,17,29 March 2020,2020-03-29,1139,27,102
60,187,14,35,30 March 2020,2020-03-30,1326,41,137
61,309,6,13,31 March 2020,2020-03-31,1635,47,150
62,424,6,19,1 April 2020,2020-04-01,2059,53,169
63,486,16,22,2 April 2020,2020-04-02,2545,69,191
64,560,14,39,3 April 2020,2020-04-03,3105,83,230
65,579,13,56,4 April 2020,2020-04-04,3684,96,286
66,609,22,43,5 April 2020,2020-04-05,4293,118,329
67,484,16,65,6 April 2020,2020-04-06,4777,134,394
68,573,27,75,7 April 2020,2020-04-07,5350,161,469
69,565,20,96,8 April 2020,2020-04-08,5915,181,565
70,813,46,70,9 April 2020,2020-04-09,6728,227,635
71,871,22,151,10 April 2020,2020-04-10,7599,249,786
72,854,41,186,11 April 2020,2020-04-11,8453,290,972
73,758,42,114,12 April 2020,2020-04-12,9211,332,1086
74,1243,27,112,13 April 2020,2020-04-13,10454,359,1198
75,1031,37,167,14 April 2020,2020-04-14,11485,396,1365
76,886,27,144,15 April 2020,2020-04-15,12371,423,1509
77,1061,26,258,16 April 2020,2020-04-16,13432,449,1767
78,922,38,273,17 April 2020,2020-04-17,14354,487,2040
79,1371,35,426,18 April 2020,2020-04-18,15725,522,2466
80,1580,38,388,19 April 2020,2020-04-19,17305,560,2854
81,1239,33,419,20 April 2020,2020-04-20,18544,593,3273
82,1537,53,703,21 April 2020,2020-04-21,20081,646,3976
83,1292,36,394,22 April 2020,2020-04-22,21373,682,4370
84,1667,40,642,23 April 2020,2020-04-23,23040,722,5012
85,1408,59,484,24 April 2020,2020-04-24,24448,781,5496
86,1835,44,442,25 April 2020,2020-04-25,26283,825,5938
87,1607,56,585,26 April 2020,2020-04-26,27890,881,6523
88,1568,58,580,27 April 2020,2020-04-27,29458,939,7103
